Full Name,Political Party,Party Short,Twitter,Notes
Mehmet Akif YILMAZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MAkifYilmaz42,Kocaeli
Selami ALTINOK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Selami__Altinok,Erzurum
Ahmet Sami CEYLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AhmetSCeylan,Çorum
Cihan PEKTAŞ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cihanpektas1,Gümüşhane
Cengiz AYDOĞDU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cengizaydogdu_,Aksaray
Erkan HABERAL,Milliyetçi Hareket Partisi,MHP,https://twitter.com/HaberalErkan,Ankara
Hacı Osman AKGÜL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/osmanakgul29,Gümüşhane
Celalettin GÜVENÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/celalettingvnc,Kahramanmaraş
Sibel ÖZDEMİR,Cumhuriyet Halk Partisi,CHP,https://twitter.com/dr_sozdemir,İstanbul
Serap YAŞAR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/serapyahsiyasar,İstanbul
İsmail Emrah KARAYEL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/iekarayel,Kayseri
Hülya NERGİS,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NergisAtci,Kayseri
Ergün TAŞCI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erguntasci52,Ordu
Metin GÜNDOĞDU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/metingunordu,Ordu
Atila SERTEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/AtillaSertell,İzmir
İbrahim Halil YILDIZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/av_ihalilyildiz,Şanlıurfa
Mehmet Ali CEVHERİ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/malicevheri,Şanlıurfa
Ömer Fethi GÜRER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/fethigurer,Niğde
Hasan TURAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/hasanturantr,İstanbul
Ahmet SORGUN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/sorgunahmet,Konya
Murat BAKAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/CHPMuratBakan,İzmir
Sami ÇAKIR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/scakir20,Kocaeli
Cemil YAMAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/cemil_yaman,Kocaeli
İbrahim AYDIN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/07ibrahimaydin,Antalya
Tamer DAĞLI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Tamer_Dagli,Adana
